ID,TrackId,DiscId
1,55,28
2,51,28
3,49,28
4,45,28
5,53,28
6,54,28
7,50,28
8,47,28
9,58,28
10,48,28
11,56,28
12,52,28
13,57,28
46,116,37
87,101,33
88,102,33
89,103,33
90,104,33
91,105,33
92,106,33
93,107,33
94,108,33
95,109,33
96,110,33
97,111,33
98,112,33
99,113,33
100,114,33
101,115,33
116,172,91
117,170,91
118,174,91
119,173,91
120,175,91
121,176,91
122,177,91
123,178,91
124,179,91
125,180,91
126,181,91
127,182,91
128,183,91
129,184,91
130,165,90
131,166,90
132,167,90
133,188,90
134,189,90
135,190,90
136,191,90
137,161,90
138,192,90
139,193,90
140,194,90
141,195,90
142,196,90
143,197,90
144,86,32
145,87,32
146,88,32
147,89,32
148,90,32
149,92,32
150,93,32
151,94,32
152,95,32
153,96,32
154,97,32
155,85,32
156,98,32
157,99,32
167,222,43
168,168,43
169,219,43
170,141,43
171,218,43
172,217,43
173,220,43
174,221,43
175,216,43
176,223,43
177,227,43
178,226,43
179,224,43
180,225,43
181,203,94
182,204,94
183,205,94
184,202,94
185,206,94
186,207,94
187,208,94
188,209,94
189,210,94
190,211,94
191,212,94
192,213,94
193,214,94
194,215,94
195,236,94
196,237,94
197,230,31
198,231,31
199,67,31
200,232,31
201,233,31
202,234,31
203,65,31
204,238,31
205,39,31
206,239,31
207,240,31
208,100,31
209,61,31
210,241,31
211,242,31
212,43,31
213,243,31
214,244,31
215,62,31
216,245,31
217,156,31
218,246,31
219,143,31
220,63,31
221,235,31
222,247,31
223,164,31
224,248,31
225,198,31
226,46,31
227,60,31
228,72,31
229,144,31
230,249,31
231,250,31
232,78,31
233,252,31
234,48,31
235,253,31
236,160,31
