"ort","namn","datum"
"Eringsboda","Brunnen","2012-11-10 00:00:00"
"Oxie","Törringelund","2012-11-24 00:00:00"
"Sunne","Kolsnäsuddens F.P","2013-05-25 00:00:00"
"Lönsboda","Granada","2013-05-04 00:00:00"
"Kalmar","Sandra","2012-11-23 00:00:00"
"Sandhem","Sägnernas Hus","2013-05-24 00:00:00"
"Torsby","Stjärnehallen","2012-10-27 00:00:00"
"-11 SEMESTER",".","2013-04-01 00:00:00"
"Lund","Björka Loge","2013-09-07 00:00:00"
"Helsingborg","Sundspärlan","2013-09-27 00:00:00"
-26,"Semester","2013-06-02 00:00:00"
"Norrköping","Borgen","2013-09-06 00:00:00"
-18,"Semester","2012-10-01 00:00:00"
"Tanumstrand","Tanum Hotell & Konferens","2013-03-28 00:00:00"
"Charlottenberg","Ishallen","2013-03-30 00:00:00"
"Oxie","Törringelund","2013-03-16 00:00:00"
"Sälen","Lindvallen","2012-10-26 00:00:00"
"Östersund","Folkets Hus","2012-11-02 00:00:00"
"Örnsköldsvik","Folkets Park","2012-11-03 00:00:00"
"Munka-Ljungby","Ekebo","2013-02-09 00:00:00"
"Tranås","Folkets Park","2013-02-01 00:00:00"
"Uddevalla","Lane Loge","2013-05-08 00:00:00"
"Kalmar","Sandra","2013-04-13 00:00:00"
"Norrköping","Borgen","2013-05-03 00:00:00"
"Seljord","Festivalen","2013-07-04 00:00:00"
"Munka-Ljungby","Ekebofestivalen","2013-07-05 00:00:00"
"Kulla Rörum","Kulla Festplats","2013-07-07 00:00:00"
"Sel","Dansfestivalen","2013-07-11 00:00:00"
"Skotterud","Parken","2013-07-12 00:00:00"
"Hedesunda","Festplatsen Ön","2013-07-16 00:00:00"
"Malung","Dansbandsveckan","2013-07-17 00:00:00"
"Sunne","Frykdalsdansen","2013-07-24 00:00:00"
"Evertsberg","Boggberget","2013-07-25 00:00:00"
"Värestorp","FP","2013-07-27 00:00:00"
"Frillesås","Stättareds Gård","2013-07-28 00:00:00"
"Verdal","Idrettshallen","2012-09-21 00:00:00"
-22,"Semester","2013-08-14 00:00:00"
"Tranås","Folkets Park","2012-11-09 00:00:00"
"Östersund","Folkets Hus","2013-03-08 00:00:00"
"Hitra","Hitrahallen","2013-03-09 00:00:00"
"Eringsboda","Brunnen","2013-02-02 00:00:00"
"Bollnäs","Tuppz","2013-04-26 00:00:00"
"Åre","Holiday Club","2013-04-27 00:00:00"
"Lycksele","Hotel Lappland","2013-03-23 00:00:00"
"Sira","Lendemoen Idrettsplass","2013-06-01 00:00:00"
"Helsingborg","Sundspärlan","2013-04-12 00:00:00"
"Gislaved","Sigges Loge","2013-08-03 00:00:00"
"Stockholm","Gröna Lund","2013-08-01 00:00:00"
"Havdhem Gotland","Suder Country","2013-08-09 00:00:00"
"Urshult","Kärrasand","2013-08-10 00:00:00"
"Lönsboda","Granada","2013-09-28 00:00:00"
"Fagernes","Quality Hotel","2012-09-14 00:00:00"
"Tönsberg","Eikhallen","2012-09-15 00:00:00"
"Kristiansund","Braathallen","2012-09-22 00:00:00"
"Skaun","Skaunhallen","2012-10-20 00:00:00"
"Boden","Björknäsparken","2013-07-20 00:00:00"
"Gräsmyr","Gräsmyr Loge","2013-07-19 00:00:00"
"Motala","Mariebergsparken","2012-11-30 00:00:00"
"Sölvesborg","Stora Torget Killebom","2013-07-06 00:00:00"
"Hamar","Rica Hotel Hamar/Olrud","2012-10-19 00:00:00"
"Mora","Moraparken","2012-12-01 00:00:00"
"Trondheim/Hell","Rica Hell Hotel","2012-12-07 00:00:00"
"Trondheim/Hell","Rica Hell Hotel","2012-12-08 00:00:00"
"Kristianstad","FP Sommarlust","2012-12-14 00:00:00"
"Kristianstad","FP Sommarlust","2012-12-15 00:00:00"
"Falköping","Folkets Park","2013-01-05 00:00:00"
"Hamar","Rica Hotel Hamar/Olrud","2013-01-18 00:00:00"
"Röros","Idrettshallen","2013-01-19 00:00:00"
"Motala","Folkets Park","2013-03-01 00:00:00"
"Södra Vi","Pumpen","2013-03-02 00:00:00"
"Halmstad","Folkets Park","2013-03-15 00:00:00"
"Gol","Storefjell Hotel","2013-05-31 00:00:00"
"Bingolotto","TV4","2013-01-06 00:00:00"
"Norge","Se hemsida","2013-05-10 00:00:00"
"Sortland","Blåbyhallen","2013-05-11 00:00:00"
"Molde","Rica Seilet","2013-04-19 00:00:00"
"Åheim","Idrettshallen","2013-04-20 00:00:00"
"Ystad","Folkets Park","2013-05-18 00:00:00"
"Stenungsund","Stenungsbaden","2013-02-15 00:00:00"
"Nyköping","Träffen","2013-02-22 00:00:00"
"Forshaga","Meddelas","2013-07-13 00:00:00"
"Skirö","Festplatsen","2013-06-29 00:00:00"
"Lysvik","Canisparken","2013-06-28 00:00:00"
"Ed","Trivselkväll vid Timmerhusen","2013-06-27 00:00:00"
"Kalmar","Larmtorget","2013-08-08 00:00:00"
"Nässjö","Björnholmens Loge","2013-08-23 00:00:00"
"Hagfors","Folkets Park","2013-08-24 00:00:00"
"Norrköping","Borgen","2013-01-25 00:00:00"
"Munkfors","FH","2013-01-26 00:00:00"
"Arvika","Folkets Park","2013-01-12 00:00:00"
"Kungälv","Idrottshallen","2013-03-31 00:00:00"
"Tanumstrand","Tanum Hotell & Konferens","2013-01-11 00:00:00"
"Stockholm","Birka Paradise","2013-03-20 00:00:00"
"Tibro","FP","2013-02-08 00:00:00"
"Säffle","MB","2013-02-16 00:00:00"
"Hafjell","Quality Hotel & Resort","2013-03-29 00:00:00"
"Boden","Western Farm","2013-03-22 00:00:00"
"Hudiksvall","Kulturhuset Glada Hudik","2013-02-23 00:00:00"
"Stockholm","Grammisgalan 2013","2013-02-20 00:00:00"
"Göteborg","Göteborgskalaset","2013-08-13 00:00:00"
"Oslo","Color Fantasy","2013-08-25 00:00:00"
"Oslo","Color Fantasy","2013-08-26 00:00:00"
"Fågelfors","Folkets Park","2013-08-31 00:00:00"
